,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
0,643,18,30,595,95,1,2
1,920,26,36,858,277,8,6
2,1406,42,39,1325,486,16,3
3,2075,56,49,1970,669,14,10
4,2877,82,58,2737,802,26,9
5,5509,131,101,5277,2632,49,43
6,6087,133,119,5835,578,2,18
7,8141,171,133,7837,2054,38,14
8,9802,213,211,9378,1661,42,78
9,11891,259,272,11360,2089,46,61
10,16630,361,450,15819,4739,102,178
11,19716,425,595,18696,3086,64,145
12,23707,491,812,22404,3991,66,217
13,27440,563,1062,25815,3733,72,250
14,30587,633,1408,28546,3147,70,346
15,34110,718,1891,31501,3523,85,483
16,36814,805,2450,33559,2704,87,559
17,39829,905,3032,35892,3015,100,582
18,42354,1012,3686,37656,2525,107,654
19,44386,1112,4370,38904,2032,100,684
20,46267,1117,4782,40368,1881,5,412
21,59895,1369,5853,52673,13628,252,1071
22,66358,1521,7533,57304,6463,152,1680
23,68413,1663,8806,57944,2055,142,1273
24,12,1,4,7,1,1,2
25,70513,1766,10210,58537,2100,103,1404
26,72434,1864,11831,58739,1921,98,1621
27,74211,2003,13548,58660,1777,139,1717
28,79,2,13,64,12,1,1
29,74619,2116,15237,57266,408,113,1689
30,75077,2238,17208,55631,458,122,1971
31,104,1,16,87,73,1,4
32,77001,2443,21666,52892,1451,205,3882
33,62,2,1,59,42,1,1
34,77022,2445,22100,52477,21,2,434
35,155,3,2,150,93,1,1
36,602,6,18,578,169,4,2
37,77241,2595,23838,50808,219,150,1738
38,229,7,1,221,74,4,-1
39,77754,2665,26426,48663,513,70,2588
40,977,10,22,945,144,2,4
41,78166,2717,28790,46659,412,52,2364
42,139,19,49,71,44,3,49
43,453,12,3,438,131,2,2
44,78600,2746,31588,44266,434,29,2798
45,655,17,45,593,202,5,42
46,78928,2790,34940,41198,328,44,3352
47,388,34,73,281,143,8,24
48,888,21,46,821,233,4,1
49,79356,2837,37868,38651,428,47,2928
50,593,43,123,427,205,9,50
51,245,6,32,207,9,1,10
52,3150,16,27,3107,813,3,5
53,79932,2872,40670,36390,576,35,2802
54,978,54,175,749,385,11,52
55,1694,34,83,1577,566,5,37
56,3736,17,30,3689,586,1,3
57,80136,2914,43353,33869,204,42,2683
58,1501,66,291,1144,523,12,116
59,2036,52,149,1835,342,18,66
60,80261,2947,45919,31395,125,33,2566
61,2502,79,160,2263,466,27,11
62,80386,2983,48466,28937,125,36,2547
63,2922,92,552,2278,586,15,261
64,3089,107,276,2706,587,28,116
65,5621,35,41,5545,435,7,11
66,80537,3015,50749,26773,151,32,2283
67,3513,107,739,2667,591,15,187
68,3858,148,414,3296,769,41,138
69,80690,3044,52395,25251,153,29,1646
70,4747,124,913,3710,1234,17,174
71,4636,197,523,3916,778,49,109
72,6593,42,135,6416,505,7,94
73,80770,3072,53988,23710,80,28,1593
74,5823,145,1669,4009,1076,21,756
75,5883,233,589,5061,1247,36,66
76,500,10,30,460,100,5,28
77,429,2,18,409,55,1,10
78,80823,3100,55834,21889,53,28,1846
79,6566,194,2134,4238,743,49,465
80,7375,366,622,6387,1492,133,33
81,7314,50,118,7146,273,6,-17
82,80860,3123,57250,20487,37,23,1416
83,7161,237,2394,4530,595,43,260
84,9172,463,724,7985,1797,97,102
85,1073,28,32,1013,400,11,2
86,80887,3139,58627,19121,27,16,1377
87,8042,291,2731,5020,881,54,337
88,585,13,101,471,58,3,25
89,7513,54,247,7212,35,1,129
90,711,28,8,675,192,6,1
91,889,7,19,863,259,4,1
92,80921,3161,60088,17672,34,22,1461
93,1908,3,25,1880,451,1,7
94,9000,354,2959,5687,958,63,228
95,12462,827,1045,10590,2313,196,321
96,640,15,118,507,55,2,17
97,7755,60,288,7407,242,6,41
98,2277,54,183,2040,582,19,151
99,652,4,4,644,161,1,1
100,24,1,8,15,4,1,8
101,80932,3172,61344,16416,11,11,1256
102,7869,66,333,7470,114,6,45
103,1561,43,12,1506,452,10,4
104,80945,3180,62637,15128,13,8,1293
105,3675,7,46,3622,1597,4,21
106,101,9,24,68,30,1,9
107,17660,1266,1439,14955,2547,250,394
108,5232,133,193,4906,2955,78,10
109,37,3,12,22,11,1,4
110,80977,3193,64100,13684,32,13,1463
111,228,3,8,217,38,2,8
112,96,5,8,83,27,1,6
113,110,10,26,74,9,1,2
114,21157,1441,1966,17750,3497,175,527
115,6391,195,517,5679,1159,62,324
116,81003,3203,65457,12343,26,10,1357
117,171,5,8,158,15,5,7
118,13938,724,4590,8624,1209,113,1631
119,24747,1809,2335,20603,3590,368,369
120,81033,3217,66350,11466,30,14,893
121,7272,17,67,7188,1477,6,21
122,27980,2158,2749,23073,3233,349,414
123,843,30,144,669,17,6,26
124,177,4,13,160,58,1,13
125,9942,342,530,9070,2144,53,13
126,4360,97,17,4246,1392,27,5
127,3692,66,21,3605,615,23,2
128,321,1,2,318,121,1,1
129,81058,3230,67238,10590,25,13,888
130,196,4,32,160,46,2,5
131,142,3,14,125,23,1,1
132,16169,988,5389,9792,1178,135,799
133,154,11,32,111,30,1,6
134,31506,2503,2941,26062,3526,345,192
135,673,2,49,622,107,2,7
136,8320,81,1407,6832,84,6,270
137,11748,533,1028,10187,1806,191,498
138,4462,82,53,4327,770,16,32
139,1646,4,9,1633,314,1,8
140,1486,14,31,1441,243,4,30
141,81102,3241,68195,9666,44,11,957
142,12327,28,105,12194,3070,4,38
143,227,19,11,197,55,14,3
144,164,12,43,109,10,1,11
145,35713,2978,4025,28710,4207,475,1084
146,454,2,13,439,155,2,11
147,8413,84,1540,6789,93,3,133
148,13910,623,1081,12206,2162,90,53
149,3028,28,15,2985,328,1,11
150,8917,188,105,8624,2776,57,88
151,5467,116,67,5284,1005,34,14
152,87,9,32,46,13,2,20
153,81156,3249,68975,8932,54,8,780
154,105,1,5,99,24,1,1
155,15320,44,113,15163,2993,16,8
156,194,4,15,175,38,1,1
157,18407,1284,5710,11413,1046,149,321
158,41035,3405,4440,33190,5322,427,415
159,968,33,150,785,40,1,6
160,157,4,4,149,24,1,1
161,217,17,8,192,15,-2,3
162,199,1,9,189,52,1,1
163,17963,830,1107,16026,4053,207,26
164,14157,265,121,13771,5240,77,16
165,2257,37,1,2219,462,16,-30
166,81250,3253,69706,8291,94,4,731
167,285,8,39,238,29,2,7
168,19848,67,180,19601,4528,23,67
169,244,5,20,219,50,1,5
170,369,32,15,322,58,7,4
171,19644,1433,6745,11466,1237,149,1035
172,208,17,49,142,16,4,6
173,1022,34,191,797,54,1,41
174,1030,3,87,940,130,1,12
175,1020,6,5,1009,235,3,2
176,20410,1043,1588,17779,2447,213,481
177,19479,362,147,18970,5322,97,26
178,2815,67,263,2485,558,30,262
179,64,2,5,57,24,1,5
180,81305,3259,70297,7749,55,6,591
181,117,2,2,113,28,1,2
182,506,7,3,496,139,2,3
183,294,10,41,243,9,2,2
184,22213,84,233,21896,2365,17,53
185,103,4,7,92,18,1,5
186,473,1,22,450,64,1,17
187,330,4,23,303,86,-1,3
188,20610,1556,7635,11419,966,123,890
189,712,1,36,675,183,1,22
190,53578,4825,6072,42681,6557,793,1632
191,1059,36,232,791,37,2,41
192,1183,4,114,1065,153,1,27
193,776,5,5,766,46,2,-8
194,307,19,13,275,77,1,5
195,432,2,140,290,47,2,16
196,25374,1375,2125,21874,4964,332,537
197,25825,456,176,25193,6346,94,29
198,201,17,65,119,62,2,33
199,334,2,149,183,29,1,24
200,687,1,8,678,95,1,2
201,81435,3274,70802,7359,130,15,505
202,231,2,3,226,35,2,2
203,95,1,3,91,11,1,3
204,327,14,56,257,33,4,15
205,16243,676,2206,13361,1780,113,2194
206,24873,94,266,24513,2660,10,33
207,131,6,16,109,28,2,9
208,396,7,27,362,66,3,4
209,514,48,29,437,64,10,14
210,21638,1685,7931,12022,1028,129,296
211,233,20,57,156,19,3,6
212,59138,5476,7024,46638,5560,651,952
213,1104,40,235,829,45,4,3
214,1306,10,139,1157,123,6,25
215,380,25,17,338,73,6,4
216,433,3,64,366,66,3,12
217,8961,111,2909,5941,162,9,1369
218,28768,1772,2575,24421,3394,397,450
219,7474,98,131,7245,899,23,116
220,75,3,1,71,15,2,1
221,33761,601,178,32982,7936,145,2
222,972,7,18,947,97,1,13
223,123,5,10,108,19,1,8
224,264,19,24,221,34,2,-41
225,387,6,52,329,86,2,49
226,2044,8,115,1921,362,1,27
227,392,3,177,212,15,1,28
228,39,4,5,30,6,1,2
229,4269,122,461,3686,526,34,198
230,81591,3281,71720,6590,93,7,466
231,1394,3,10,1381,158,2,4
232,1713,32,34,1647,145,8,33
233,312,6,3,303,67,3,3
234,402,20,80,302,36,1,24
235,22622,1102,3250,18270,2499,240,1044
236,32986,157,3243,29586,3930,34,2977
237,743,20,29,694,48,3,10
238,187,9,21,157,20,2,5
239,648,2,51,595,60,1,15
240,686,55,30,601,107,6,1
241,24811,1934,8913,13964,1762,122,982
242,316,27,75,214,50,4,18
243,1238,3,53,1182,167,2,16
244,69176,6820,8326,54030,5249,743,1302
245,1217,42,285,890,73,1,50
246,1624,16,183,1425,106,2,44
247,170,5,6,159,27,1,3
248,5580,277,1,5302,816,63,1
249,2863,12,6,2845,242,2,5
250,1063,8,21,1034,91,1,3
